time,enrolled,available,waitlisted,total
2022-11-05T20:17:57,0,75,0,75
2022-11-05T20:27:14,0,75,0,75
2022-11-05T20:36:42,0,75,0,75
2022-11-05T20:45:58,0,75,0,75
2022-11-05T20:55:13,0,75,0,75
2022-11-05T21:04:29,0,75,0,75
2022-11-05T21:13:44,0,75,0,75
2022-11-05T21:22:59,0,75,0,75
2022-11-05T21:32:15,0,75,0,75
2022-11-05T21:41:32,0,75,0,75
2022-11-05T21:50:47,0,75,0,75
2022-11-05T22:00:02,0,75,0,75
2022-11-05T22:09:18,0,75,0,75
2022-11-05T22:18:33,0,75,0,75
2022-11-05T22:27:48,0,75,0,75
2022-11-05T22:37:05,0,75,0,75
2022-11-05T22:46:21,0,75,0,75
2022-11-05T22:55:37,0,75,0,75
2022-11-05T23:04:53,0,75,0,75
2022-11-05T23:14:09,0,75,0,75
2022-11-05T23:23:26,0,75,0,75
2022-11-05T23:32:45,0,75,0,75
2022-11-05T23:41:59,0,75,0,75
2022-11-05T23:51:16,0,75,0,75
2022-11-06T00:00:31,0,75,0,75
2022-11-06T00:09:58,0,75,0,75
2022-11-06T00:19:14,0,75,0,75
2022-11-06T00:28:30,0,75,0,75
2022-11-06T00:37:44,0,75,0,75
2022-11-06T00:47:00,0,75,0,75
2022-11-06T00:56:16,0,75,0,75
2022-11-06T01:05:31,0,75,0,75
2022-11-06T01:14:46,0,75,0,75
2022-11-06T01:24:02,0,75,0,75
2022-11-06T01:33:18,0,75,0,75
2022-11-06T01:42:34,0,75,0,75
2022-11-06T01:51:50,0,75,0,75
2022-11-06T01:01:06,0,75,0,75
2022-11-06T01:10:23,0,75,0,75
2022-11-06T01:19:39,0,75,0,75
2022-11-06T01:28:54,0,75,0,75
2022-11-06T01:38:10,0,75,0,75
2022-11-06T01:47:26,0,75,0,75
2022-11-06T01:56:45,0,75,0,75
2022-11-06T02:06:03,0,75,0,75
2022-11-06T02:15:22,0,75,0,75
2022-11-06T02:24:42,0,75,0,75
2022-11-06T02:34:03,0,75,0,75
2022-11-06T02:43:21,0,75,0,75
2022-11-06T02:52:40,0,75,0,75
2022-11-06T03:01:59,0,75,0,75
2022-11-06T03:11:17,0,75,0,75
2022-11-06T03:20:34,0,75,0,75
2022-11-06T03:29:50,0,75,0,75
2022-11-06T03:39:10,0,75,0,75
2022-11-06T03:48:30,0,75,0,75
2022-11-06T03:57:49,0,75,0,75
2022-11-06T04:22:28,0,75,0,75
2022-11-06T04:31:47,0,75,0,75
2022-11-06T04:41:05,0,75,0,75
2022-11-06T04:51:50,0,75,0,75
2022-11-06T05:01:08,0,75,0,75
2022-11-06T05:10:26,0,75,0,75
2022-11-06T05:19:42,0,75,0,75
2022-11-06T05:28:59,0,75,0,75
2022-11-06T05:38:15,0,75,0,75
2022-11-06T05:47:31,0,75,0,75
2022-11-06T05:56:48,0,75,0,75
2022-11-06T06:06:07,0,75,0,75
2022-11-06T06:15:25,0,75,0,75
2022-11-06T06:24:44,0,75,0,75
2022-11-06T06:34:00,0,75,0,75
2022-11-06T06:43:17,0,75,0,75
2022-11-06T06:52:32,0,75,0,75
2022-11-06T07:01:48,0,75,0,75
2022-11-06T07:11:05,0,75,0,75
2022-11-06T07:20:23,0,75,0,75
2022-11-06T07:29:40,0,75,0,75
2022-11-06T07:38:59,0,75,0,75
2022-11-06T07:48:18,0,75,0,75
2022-11-06T07:57:34,0,75,0,75
2022-11-06T08:06:51,0,75,0,75
2022-11-06T08:16:08,0,75,0,75
2022-11-06T08:25:25,0,75,0,75
2022-11-06T08:34:42,0,75,0,75
2022-11-06T08:43:59,0,75,0,75
2022-11-06T08:53:15,0,75,0,75
2022-11-06T09:02:32,0,75,0,75
2022-11-06T09:11:47,0,75,0,75
2022-11-06T09:21:02,0,75,0,75
2022-11-06T09:30:15,0,75,0,75
2022-11-06T09:39:29,0,75,0,75
2022-11-06T09:48:43,0,75,0,75
2022-11-06T09:57:57,0,75,0,75
2022-11-06T10:07:10,0,75,0,75
2022-11-06T10:16:23,0,75,0,75
2022-11-06T10:25:37,0,75,0,75
